0,62.893
0.0010307,63.019
0.0035184,63.144
0.0069331,63.27
0.010839,63.338
0.016608,62.414
0.024376,60.904
0.033508,59.769
0.04372,59.816
0.056343,60.588
0.07108,61.529
0.087334,62.158
0.10522,62.069
0.12568,61.457
0.1481,60.803
0.17185,60.586
0.19739,61.503
0.22503,63.218
0.25412,64.769
0.28409,65.204
0.31556,64.238
0.34835,62.725
0.38181,61.625
0.41557,61.971
0.45022,64.085
0.48525,66.647
0.51995,68.214
0.55423,67.607
0.58851,65.489
0.62213,63.298
0.65441,62.478
0.68565,63.865
0.71598,66.392
0.74486,68.617
0.77182,69.212
0.79745,68.772
0.82169,68.077
0.84413,67.608
0.86465,67.666
0.88392,67.792
0.90167,67.917
0.91752,68.043
0.93166,67.605
0.94466,66.214
0.9562,64.814
0.96594,64.355
0.97446,64.698
0.98204,65.349
0.98837,66.248
0.99328,67.675
0.99762,72.134
1.0013,77.774
1.0038,81.65
1.005,81.474
1.006,78.829
1.0067,75.741
1.007,74.135
1.0067,74.854
1.0056,76.515
1.004,78.147
1.0023,78.762
1.0002,76.769
0.99763,73.104
0.9948,69.77
0.99185,68.448
0.98862,67.768
0.98512,67.302
0.98142,67.13
0.97755,68.059
0.97341,71.576
0.96908,76.141
0.96464,80.023
0.96013,82.658
0.95547,84.991
0.9507,87.216
0.94581,89.519
0.94078,91.774
0.93561,94.019
0.93035,96.448
0.92502,99.438
0.91959,103.8
0.91408,108.15
0.90855,110.77
0.90303,110.93
0.89751,110.6
0.89196,110.03
0.88638,109.34
0.88077,108.32
0.87513,106.81
0.86948,104.99
0.86381,102.98
0.85813,100.05
0.85244,96.747
0.84674,94.162
0.84105,93.093
0.83538,92.427
0.8297,91.981
0.82399,91.835
0.81824,92.622
0.81247,94.94
0.80665,97.418
0.80075,98.611
0.79478,98.354
0.78874,97.687
0.78258,97.092
0.77623,97.163
0.76965,99.712
0.76291,103.69
0.75606,107.1
0.74916,108.48
0.7422,109.39
0.73513,110.07
0.7279,110.46
0.72048,110.59
0.71288,110.71
0.70511,110.84
0.69718,110.95
0.68908,107.81
0.6808,101.55
0.67237,96.024
0.66382,95.214
0.65511,103.3
0.64625,119.65
0.6373,142.6
0.62826,183.38
0.61912,283.81
0.60988,417.52
0.60058,550.45
0.59119,685.03
0.58169,842.12
0.57217,970.05
0.56273,1016.4
0.55332,1013.2
0.54394,1004.9
0.53467,991.86
0.52556,961.33
0.51656,797.94
0.50769,557.79
0.49902,345.57
0.49056,228.29
0.48225,128.52
0.47415,52.421
0.46634,18.193
0.45882,20.118
0.45152,26.883
0.44451,35.782
0.43784,44.598
0.43142,56.096
0.42526,69.179
0.41944,79.109
0.41399,82.005
0.40875,82.722
0.40382,83.223
0.3994,83.842
0.39555,85.035
0.39202,87.049
0.38889,89.213
0.38629,90.808
0.3841,91.761
0.38214,92.599
0.38058,93.206
0.37959,93.455
0.37887,93.098
0.37831,92.409
0.37802,91.869
0.37812,92.186
0.37863,94.76
0.37942,98.161
0.38035,100.47
0.38138,100.74
0.38275,100.87
0.38436,100.99
0.38607,101.11
0.38795,102.61
0.39007,105.85
0.3923,108.92
0.3945,109.95
0.39669,109.06
0.39892,107.55
0.40121,106.38
0.40356,106.71
0.40598,109.7
0.40846,113.73
0.41105,116.78
0.41383,117.81
0.41687,118.38
0.41987,118.91
0.42253,119.72
0.42492,122.01
0.4272,125.69
0.42909,129.16
0.43038,130.92
0.43141,131.65
0.43227,132.18
0.43283,132.8
0.43298,133.82
